[INFO ] [2021-09-04 10:52:01,518] Pre-Condition - Open browser 'firefox' with url: 'https://admin-demo.nopcommerce.com/login?ReturnUrl=/admin/'
[INFO ] [2021-09-04 10:52:10,250] Admin_00 - Step 1: Open 'Admin Nopcommerce' page
[INFO ] [2021-09-04 10:52:10,253] Admin_00 - Step 2: Input data to Email textbox admin@yourstore.com
[INFO ] [2021-09-04 10:52:10,487] Admin_00 - Step 3: Input data to Password textbox admin
[INFO ] [2021-09-04 10:52:10,605] Admin_00 - Step 4: Verify Dashboard Header Text is displayed
[INFO ] [2021-09-04 10:52:13,493]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-04 10:52:13,500] Admin_01 - Step 1: At Dashboard Page, click to menu 'Catalog' and submenu 'Products'
[INFO ] [2021-09-04 10:52:16,955] Admin_01 - Step 2: Input 'Lenovo IdeaCentre 600 All-in-One PC' to textbox Product Name
[INFO ] [2021-09-04 10:52:17,125] Admin_01 - Step 3: Click to Seach button
[INFO ] [2021-09-04 10:52:18,513] Admin_01 - Step 4: Verify only 1 item displayed
[INFO ] [2021-09-04 10:52:18,770]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-04 10:52:18,770] Admin_01 - Step 5: Verify data is displayed with 'Lenovo IdeaCentre 600 All-in-One PC','LE_IC_600','500','10000'
[INFO ] [2021-09-04 10:52:18,847]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-04 10:52:18,851] Admin_02 - Step 1: Refresh Product Search Page
[INFO ] [2021-09-04 10:52:21,613] Admin_02 - Step 2: Input 'Lenovo IdeaCentre 600 All-in-One PC' to textbox Product Name
[INFO ] [2021-09-04 10:52:21,766] Admin_02 - Step 3: Select 'Computers' from Dropdown Category
[INFO ] [2021-09-04 10:52:22,127] Admin_02 - Step 4: Click to Seach button
[INFO ] [2021-09-04 10:52:22,398] Admin_02 - Step 5: Verify No Data message is displayed
[INFO ] [2021-09-04 10:52:23,604]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-04 10:52:23,606] Admin_03 - Step 1: Refresh Product Search Page
[INFO ] [2021-09-04 10:52:26,849] Admin_03 - Step 2: Input 'Lenovo IdeaCentre 600 All-in-One PC' to textbox Product Name
[INFO ] [2021-09-04 10:52:26,995] Admin_03 - Step 3: Select 'Computers' from Dropdown Category
[INFO ] [2021-09-04 10:52:27,335] Admin_03 - Step 4: Check to checkbox Sub Categories
[INFO ] [2021-09-04 10:52:27,631] Admin_03 - Step 5: Click to Seach button
